year,CPUE,Input SE ,Fleet,fleet_num
1994,0.97,0.2,JPNLL Q1A1 Late,1
1995,1.18,0.2,JPNLL Q1A1 Late,1
1996,0.81,0.2,JPNLL Q1A1 Late,1
1997,0.88,0.2,JPNLL Q1A1 Late,1
1998,1.21,0.2,JPNLL Q1A1 Late,1
1999,0.83,0.2,JPNLL Q1A1 Late,1
2000,0.75,0.2,JPNLL Q1A1 Late,1
2001,0.73,0.2,JPNLL Q1A1 Late,1
2002,0.62,0.2,JPNLL Q1A1 Late,1
2003,0.76,0.2,JPNLL Q1A1 Late,1
2004,0.6,0.2,JPNLL Q1A1 Late,1
2005,0.58,0.2,JPNLL Q1A1 Late,1
2006,0.59,0.2,JPNLL Q1A1 Late,1
2007,0.58,0.2,JPNLL Q1A1 Late,1
2008,0.69,0.2,JPNLL Q1A1 Late,1
2009,0.55,0.2,JPNLL Q1A1 Late,1
2010,0.56,0.2,JPNLL Q1A1 Late,1
2011,0.59,0.2,JPNLL Q1A1 Late,1
2012,0.58,0.2,JPNLL Q1A1 Late,1
2013,0.58,0.2,JPNLL Q1A1 Late,1
2014,0.61,0.2,JPNLL Q1A1 Late,1
2015,0.61,0.2,JPNLL Q1A1 Late,1
2016,0.63,0.2,JPNLL Q1A1 Late,1
2017,0.55,0.2,JPNLL Q1A1 Late,1
2018,0.57,0.2,JPNLL Q1A1 Late,1
2019,0.66,0.2,JPNLL Q1A1 Late,1
2020,0.58,0.2,JPNLL Q1A1 Late,1
1994,1.14,0.2,JPNLL Q3A1 Late,2
1995,1.4,0.2,JPNLL Q3A1 Late,2
1996,1.08,0.2,JPNLL Q3A1 Late,2
1997,0.89,0.2,JPNLL Q3A1 Late,2
1998,1.05,0.2,JPNLL Q3A1 Late,2
1999,1.03,0.2,JPNLL Q3A1 Late,2
2000,0.78,0.2,JPNLL Q3A1 Late,2
2001,0.86,0.2,JPNLL Q3A1 Late,2
2002,0.75,0.2,JPNLL Q3A1 Late,2
2003,0.83,0.2,JPNLL Q3A1 Late,2
2004,0.72,0.2,JPNLL Q3A1 Late,2
2005,0.67,0.2,JPNLL Q3A1 Late,2
2006,0.67,0.2,JPNLL Q3A1 Late,2
2007,0.63,0.2,JPNLL Q3A1 Late,2
2008,0.7,0.2,JPNLL Q3A1 Late,2
2009,0.7,0.2,JPNLL Q3A1 Late,2
2010,0.71,0.2,JPNLL Q3A1 Late,2
2011,0.81,0.2,JPNLL Q3A1 Late,2
2012,0.72,0.2,JPNLL Q3A1 Late,2
2013,0.7,0.2,JPNLL Q3A1 Late,2
2014,0.74,0.2,JPNLL Q3A1 Late,2
2015,0.74,0.2,JPNLL Q3A1 Late,2
2016,0.72,0.2,JPNLL Q3A1 Late,2
2017,0.67,0.2,JPNLL Q3A1 Late,2
2018,0.7,0.2,JPNLL Q3A1 Late,2
2019,0.8,0.2,JPNLL Q3A1 Late,2
2020,0.69,0.2,JPNLL Q3A1 Late,2
1995,1.47,0.2,US HI LL,3
1996,1.07,0.2,US HI LL,3
1997,0.85,0.2,US HI LL,3
1998,0.89,0.2,US HI LL,3
1999,0.89,0.2,US HI LL,3
2000,0.62,0.2,US HI LL,3
2001,0.94,0.2,US HI LL,3
2002,0.53,0.2,US HI LL,3
2003,1.05,0.2,US HI LL,3
2004,0.72,0.2,US HI LL,3
2005,0.68,0.2,US HI LL,3
2006,0.69,0.2,US HI LL,3
2007,0.38,0.2,US HI LL,3
2008,0.51,0.2,US HI LL,3
2009,0.34,0.2,US HI LL,3
2010,0.23,0.2,US HI LL,3
2011,0.49,0.2,US HI LL,3
2012,0.36,0.2,US HI LL,3
2013,0.35,0.2,US HI LL,3
2014,0.43,0.2,US HI LL,3
2015,0.39,0.2,US HI LL,3
2016,0.35,0.2,US HI LL,3
2017,0.38,0.2,US HI LL,3
2018,0.37,0.2,US HI LL,3
2019,0.42,0.2,US HI LL,3
2020,0.34,0.2,US HI LL,3
1995,1.25,0.2,TWN DWLL,4
1996,0.77,0.2,TWN DWLL,4
1997,0.72,0.2,TWN DWLL,4
1998,1.12,0.2,TWN DWLL,4
1999,0.93,0.2,TWN DWLL,4
2000,0.46,0.2,TWN DWLL,4
2001,0.9,0.2,TWN DWLL,4
2002,1,0.2,TWN DWLL,4
2003,1.73,0.2,TWN DWLL,4
2004,1.87,0.2,TWN DWLL,4
2005,1.77,0.2,TWN DWLL,4
2006,1.14,0.2,TWN DWLL,4
2007,0.99,0.2,TWN DWLL,4
2008,0.95,0.2,TWN DWLL,4
2009,0.66,0.2,TWN DWLL,4
2010,0.81,0.2,TWN DWLL,4
2011,0.93,0.2,TWN DWLL,4
2012,1.01,0.2,TWN DWLL,4
2013,1.67,0.2,TWN DWLL,4
2014,0.63,0.2,TWN DWLL,4
2015,0.6,0.2,TWN DWLL,4
2016,0.54,0.2,TWN DWLL,4
2017,1,0.2,TWN DWLL,4
2018,0.68,0.2,TWN DWLL,4
2019,0.72,0.2,TWN DWLL,4
2020,1.14,0.2,TWN DWLL,4
1976,0.73,0.2,JPNLL Q1A1 Early,5
1977,0.7,0.2,JPNLL Q1A1 Early,5
1978,0.87,0.2,JPNLL Q1A1 Early,5
1979,0.76,0.2,JPNLL Q1A1 Early,5
1980,0.92,0.2,JPNLL Q1A1 Early,5
1981,0.67,0.2,JPNLL Q1A1 Early,5
1982,0.54,0.2,JPNLL Q1A1 Early,5
1983,0.56,0.2,JPNLL Q1A1 Early,5
1984,0.81,0.2,JPNLL Q1A1 Early,5
1985,1.01,0.2,JPNLL Q1A1 Early,5
1986,0.76,0.2,JPNLL Q1A1 Early,5
1987,0.7,0.2,JPNLL Q1A1 Early,5
1988,0.8,0.2,JPNLL Q1A1 Early,5
1989,0.77,0.2,JPNLL Q1A1 Early,5
1990,0.68,0.2,JPNLL Q1A1 Early,5
1991,0.7,0.2,JPNLL Q1A1 Early,5
1992,0.8,0.2,JPNLL Q1A1 Early,5
1993,0.86,0.2,JPNLL Q1A1 Early,5
1976,0.92,0.2,JPNLL Q3A1 Early,6
1977,0.86,0.2,JPNLL Q3A1 Early,6
1978,0.96,0.2,JPNLL Q3A1 Early,6
1979,1.21,0.2,JPNLL Q3A1 Early,6
1980,1.15,0.2,JPNLL Q3A1 Early,6
1981,0.92,0.2,JPNLL Q3A1 Early,6
1982,0.86,0.2,JPNLL Q3A1 Early,6
1983,0.85,0.2,JPNLL Q3A1 Early,6
1984,1.08,0.2,JPNLL Q3A1 Early,6
1985,1.23,0.2,JPNLL Q3A1 Early,6
1986,1.14,0.2,JPNLL Q3A1 Early,6
1987,0.93,0.2,JPNLL Q3A1 Early,6
1988,1.36,0.2,JPNLL Q3A1 Early,6
1989,1.12,0.2,JPNLL Q3A1 Early,6
1990,0.85,0.2,JPNLL Q3A1 Early,6
1991,0.94,0.2,JPNLL Q3A1 Early,6
1992,1.06,0.2,JPNLL Q3A1 Early,6
1993,0.98,0.2,JPNLL Q3A1 Early,6
